shipment_id,city_id,timestamp,fuel_consumed_liters,temperature_2m,windspeed_10m,precipitation,weathercode
9919,2911298,2022-07-29 20:12:53.027776,342.89,22.2,16.8,0.0,3
9963,2911298,2022-07-23 19:33:42.412344,506.77,18.6,18.4,0.0,1
9969,2911298,2022-07-29 18:01:08.431993,161.01,24.8,16.4,0.0,1
9913,2911298,2022-07-06 00:16:40.813996,180.04,13.2,10.8,0.0,3
9691,2911298,2022-07-18 01:01:13.147528,204.33,14.1,6.9,0.0,3
9889,2911298,2022-07-09 01:50:43.652738,300.02,14.1,12.4,0.0,3
9831,2911298,2022-07-18 13:43:00.806054,283.26,26.0,11.3,0.0,3
9828,2911298,2022-07-05 15:18:43.952408,533.19,20.5,19.1,0.0,3
9876,2911298,2022-07-21 14:16:28.537557,56.12,21.8,21.8,0.5,53
9801,2911298,2022-07-13 19:57:11.173391,163.11,21.4,20.4,0.0,1
9705,2911298,2022-07-05 14:52:03.241306,364.67,20.5,18.2,0.0,2
9736,2911298,2022-07-18 16:58:55.767409,54.83,28.2,11.8,0.0,3
9795,2911298,2022-07-28 23:08:49.131060,390.4,14.7,11.2,0.0,1
9758,2911298,2022-07-02 15:43:59.866252,172.43,23.4,14.3,0.0,3
9646,2911298,2022-07-10 15:44:29.372309,323.73,18.7,26.1,0.0,2
9692,2911298,2022-07-01 07:27:11.642388,162.74,17.1,20.1,0.5,53
9644,2911298,2022-07-15 03:34:23.182295,58.45,12.3,12.3,0.0,1
9696,2911298,2022-07-14 17:16:28.191544,175.67,17.3,21.5,0.0,3
9627,2911298,2022-07-05 21:09:37.032836,160.75,16.2,12.0,0.0,1
9555,2911298,2022-07-14 20:11:09.651400,271.28,16.8,21.0,0.0,0
9598,2911298,2022-07-10 14:11:21.163900,174.46,18.0,26.2,0.0,3
9521,2911298,2022-07-14 19:54:06.594813,166.25,16.9,21.7,0.0,1
9431,2911298,2022-07-08 04:45:06.235814,301.95,13.0,14.5,0.0,2
9423,2911298,2022-07-11 03:06:57.845662,330.03,10.2,6.6,0.0,0
9460,2911298,2022-07-30 02:43:22.268582,409.87,16.9,11.6,0.0,1
9485,2911298,2022-07-05 19:36:51.244827,343.99,17.5,17.7,0.1,51
9475,2911298,2022-07-21 03:11:44.216407,387.65,18.2,15.9,0.0,3
9414,2911298,2022-07-24 00:04:08.053394,177.07,12.8,6.5,0.0,0
9440,2911298,2022-07-11 22:22:18.279556,161.98,15.8,13.7,0.0,0
9583,2911298,2022-07-07 23:23:01.666288,216.51,15.3,20.4,0.0,3
9305,2911298,2022-07-28 18:12:33.695788,199.82,19.7,4.6,0.0,3
9088,2911298,2022-07-14 08:35:24.967205,212.13,15.2,7.7,0.0,0
9033,2911298,2022-07-03 18:55:41.474551,210.52,25.1,9.5,0.0,2
7903,2911298,2022-07-11 07:30:04.490908,205.66,12.0,6.0,0.0,1
9336,2911298,2022-07-24 21:49:42.881371,307.08,23.7,5.2,0.0,0
9365,2911298,2022-07-01 15:36:13.066106,332.14,17.5,14.8,0.1,51
9398,2911298,2022-07-16 12:58:57.537025,161.38,18.2,27.6,0.0,1
9338,2911298,2022-07-28 20:10:25.021924,261.27,19.2,1.9,0.0,3
9311,2911298,2022-07-16 13:23:58.236934,55.8,18.7,28.1,0.0,1
9230,2911298,2022-07-14 18:29:50.927297,190.56,16.5,20.5,0.0,3
9223,2911298,2022-07-24 01:04:17.996400,173.87,11.9,5.9,0.0,0
9158,2911298,2022-07-12 11:20:55.833945,303.39,19.4,11.4,0.0,2
9120,2911298,2022-07-12 05:23:22.253914,320.65,10.8,5.8,0.0,0
9197,2911298,2022-07-27 08:21:30.286669,497.09,15.0,13.4,0.0,3
9180,2911298,2022-07-03 06:41:01.344426,323.81,17.3,9.8,0.0,2
9140,2911298,2022-07-09 11:14:02.292120,251.27,18.5,20.8,0.1,51
9146,2911298,2022-07-13 08:52:49.949649,409.62,20.4,13.1,0.0,3
7569,2911298,2022-07-14 00:58:28.860243,218.58,14.3,11.9,0.0,3
7563,2911298,2022-07-25 10:01:53.438495,214.94,27.0,16.0,0.0,3
6790,2911298,2022-07-26 12:32:14.230392,217.06,20.2,22.1,0.0,1
6701,2911298,2022-07-14 13:53:18.076304,206.64,19.6,17.7,0.0,3
9071,2911298,2022-07-06 04:06:09.037775,518.32,13.1,12.2,0.0,1
9040,2911298,2022-07-05 22:04:35.243957,163.06,14.6,9.9,0.0,2
6415,2911298,2022-07-10 07:45:15.278177,201.71,13.7,16.4,0.0,1
5813,2911298,2022-07-13 00:54:23.456402,208.48,17.2,6.4,0.0,3
4876,2911298,2022-07-02 05:43:57.189513,210.58,12.2,7.7,0.0,0
4731,2911298,2022-07-08 09:43:34.615454,215.76,16.6,21.5,0.0,3
4671,2911298,2022-07-19 22:49:48.595227,202.9,26.1,13.7,0.0,3
4532,2911298,2022-07-04 00:55:50.502918,208.42,16.0,10.3,0.0,0
4495,2911298,2022-07-07 02:31:59.415410,210.31,14.5,17.5,0.3,51
9022,2911298,2022-07-30 18:06:37.820649,496.94,25.6,6.8,0.0,1
9017,2911298,2022-07-30 13:23:19.799199,168.67,24.5,2.1,0.0,0
8834,2911298,2022-07-21 18:56:08.758530,350.52,18.9,6.9,1.4,61
8844,2911298,2022-07-30 06:22:23.906477,389.18,16.2,4.8,0.0,3
8872,2911298,2022-07-08 03:16:00.421190,317.06,13.1,16.1,0.0,0
8891,2911298,2022-07-22 20:34:27.320911,170.53,18.5,13.9,0.0,3
8789,2911298,2022-07-11 03:11:35.017602,345.95,10.2,6.6,0.0,0
8738,2911298,2022-07-11 04:03:13.145191,457.13,10.0,6.6,0.0,0
8755,2911298,2022-07-05 15:29:18.979613,500.11,20.5,19.1,0.0,3
8734,2911298,2022-07-24 22:52:55.617144,385.73,21.2,4.3,0.0,1
8787,2911298,2022-07-18 21:56:21.927467,263.11,22.8,8.4,0.0,1
8806,2911298,2022-07-04 00:22:51.415245,166.69,16.0,10.3,0.0,0
8814,2911298,2022-07-16 03:47:19.095269,366.65,14.7,19.6,0.7,53
8722,2911298,2022-07-18 09:55:04.050879,159.62,20.2,8.5,0.0,3
8719,2911298,2022-07-24 12:22:25.856224,164.76,25.1,14.7,0.0,2
8560,2911298,2022-07-17 10:35:20.651142,166.73,16.9,12.7,0.0,3
8543,2911298,2022-07-27 22:01:25.744530,170.33,14.7,11.4,0.0,3
8557,2911298,2022-07-15 10:46:05.898820,168.66,16.3,23.2,0.1,51
8547,2911298,2022-07-21 09:43:19.187251,169.4,20.8,13.0,0.2,51
8563,2911298,2022-07-23 06:39:56.583081,341.97,13.9,9.7,0.0,3
8556,2911298,2022-07-24 00:43:06.008684,177.91,12.8,6.5,0.0,0
4212,2911298,2022-07-15 11:35:15.928840,213.72,17.3,23.2,0.0,2
8527,2911298,2022-07-25 22:24:11.301623,439.84,18.6,12.2,0.1,51
8538,2911298,2022-07-27 11:21:06.395395,419.94,18.2,23.1,0.0,3
8499,2911298,2022-07-24 02:05:32.512853,391.65,12.1,5.3,0.0,0
8420,2911298,2022-07-19 18:29:42.093681,57.63,33.6,8.6,0.0,0
8425,2911298,2022-07-18 19:07:52.279021,159.74,27.6,8.7,0.0,3
3203,2911298,2022-07-16 14:57:58.502647,206.81,17.7,26.8,0.0,3
2713,2911298,2022-07-14 12:40:44.777783,211.26,19.6,15.3,0.0,3
